Iteration,Discriminator Loss,Generator Loss
3810,1.334670,0.611779
3820,1.337199,0.673014
3830,1.352006,0.566771
3840,1.350716,0.671147
3850,1.347949,0.590246
3860,1.322687,0.610222
3870,1.365179,0.674883
3880,1.345337,0.652159
3890,1.347462,0.688667
3900,1.363547,0.635367
3910,1.355800,0.704399
3920,1.353655,0.648098
3930,1.348435,0.646484
3940,1.322862,0.573195
3950,1.324902,0.613634
3960,1.343718,0.642611
3970,1.325184,0.625898
3980,1.343828,0.632535
3990,1.366157,0.633743
4000,1.351448,0.649135
4010,1.358051,0.662704
4020,1.363743,0.660886
4030,1.348172,0.643800
4040,1.344878,0.665013
4050,1.347037,0.678292
4060,1.356147,0.644251
4070,1.339161,0.613580
4080,1.331815,0.706093
4090,1.354749,0.659123
4100,1.365673,0.654686
4110,1.331312,0.604683
4120,1.348475,0.664593
4130,1.359099,0.650159
4140,1.336877,0.654031
4150,1.344304,0.661102
4160,1.359531,0.676904
4170,1.332770,0.690059
4180,1.355696,0.641009
4190,1.350914,0.603038
4200,1.310589,0.616559
4210,1.348522,0.604245
4220,1.361846,0.606751
4230,1.354212,0.619639
4240,1.358189,0.646129
4250,1.341084,0.639318
4260,1.355345,0.576013
4270,1.371196,0.696651
4280,1.353345,0.641611
4290,1.356476,0.704452
4300,1.359131,0.659251
4310,1.363492,0.688498
4320,1.324599,0.601892
4330,1.354834,0.706468
4340,1.354818,0.622421
4350,1.349173,0.617723
4360,1.369742,0.610007
4370,1.349833,0.585777
4380,1.349995,0.665363
4390,1.368295,0.630239
4400,1.343395,0.636022
4410,1.348686,0.640159
4420,1.345575,0.612380
4430,1.367672,0.582902
4440,1.331927,0.647553
4450,1.347213,0.624305
4460,1.326275,0.698876
4470,1.367831,0.613144
4480,1.354601,0.610778
4490,1.362515,0.644652
4500,1.309079,0.579513
4510,1.363433,0.624766
4520,1.330304,0.544698
4530,1.361807,0.649275
4540,1.357865,0.595290
4550,1.367935,0.638436
4560,1.369116,0.649122
4570,1.367662,0.639990
4580,1.326694,0.643868
4590,1.368228,0.617915
4600,1.364129,0.651161
4610,1.348524,0.601545
4620,1.373446,0.606135
4630,1.351476,0.606088
4640,1.323839,0.580091
4650,1.351320,0.594019
4660,1.298433,0.706378
4670,1.366230,0.623009
4680,1.348171,0.563719
4690,1.362655,0.628602
4700,1.349972,0.635495
4710,1.337959,0.579292
4720,1.357242,0.627223
4730,1.312479,0.606994
4740,1.346996,0.619890
4750,1.356622,0.620876
4760,1.350459,0.621254
4770,1.367209,0.602945
4780,1.360059,0.598161
4790,1.337102,0.663998
4800,1.363467,0.763990
4810,1.335299,0.584400
4820,1.360996,0.554399
4830,1.361416,0.564938
4840,1.357863,0.635437
4850,1.368801,0.570755
4860,1.337527,0.580225
4870,1.346815,0.621832
4880,1.358072,0.608404
4890,1.357578,0.636653
4900,1.345580,0.652566
4910,1.377962,0.608301
4920,1.375797,0.621358
4930,1.347027,0.614448
4940,1.371719,0.638234
4950,1.365829,0.636485
4960,1.348580,0.678072
4970,1.345526,0.600697
4980,1.356425,0.608315
4990,1.359105,0.592996
5000,1.336110,0.548054
5010,1.353820,0.605205
5020,1.374391,0.645621
5030,1.362848,0.624047
5040,1.380840,0.616057
5050,1.337898,0.654734
5060,1.366753,0.648614
5070,1.352275,0.666318
5080,1.360742,0.642884
5090,1.338029,0.528111
5100,1.344819,0.559739
5110,1.343872,0.700480
5120,1.377018,0.650922
5130,1.355169,0.684134
5140,1.348526,0.575459
5150,1.350462,0.656626
5160,1.322009,0.604790
5170,1.365571,0.638880
5180,1.304579,0.613473
5190,1.375518,0.605324
5200,1.335136,0.640588
5210,1.362334,0.620600
5220,1.364515,0.621092
5230,1.356410,0.655370
5240,1.379083,0.644523
5250,1.343482,0.610404
5260,1.358994,0.644967
5270,1.371489,0.623053
5280,1.349816,0.631902
5290,1.321776,0.635772
5300,1.378385,0.634092
5310,1.345837,0.616278
5320,1.363381,0.652400
5330,1.361841,0.617042
5340,1.323503,0.668619
5350,1.350090,0.569561
5360,1.343027,0.592066
5370,1.342270,0.599134
5380,1.363740,0.599394
5390,1.361973,0.616773
5400,1.342184,0.628070
5410,1.373609,0.590601
5420,1.374370,0.643345
5430,1.349229,0.588920
5440,1.341524,0.617767
5450,1.288236,0.598817
5460,1.367428,0.667230
5470,1.375751,0.623120
5480,1.346305,0.615499
5490,1.351143,0.620519
5500,1.376177,0.567567
5510,1.360235,0.588714
5520,1.367989,0.580195
5530,1.345218,0.666255
5540,1.346478,0.567842
5550,1.315077,0.610757
5560,1.299353,0.610017
5570,1.364442,0.581019
5580,1.369595,0.660495
5590,1.351501,0.594520
5600,1.381039,0.663994
5610,1.372640,0.634326
5620,1.356829,0.571357
5630,1.370453,0.594005
5640,1.369420,0.637630
5650,1.362157,0.636304
5660,1.364438,0.616610
5670,1.338239,0.636512
5680,1.365077,0.664347
5690,1.352249,0.586952
5700,1.379991,0.612396
5710,1.335678,0.640722
5720,1.370203,0.605476
5730,1.366793,0.650431
5740,1.358390,0.618989
5750,1.371275,0.602178
5760,1.353422,0.605409
5770,1.369933,0.633696
5780,1.369227,0.594827
5790,1.344879,0.630472
5800,1.363834,0.637131
5810,1.321603,0.608577
5820,1.371638,0.653090
5830,1.364766,0.614409
5840,1.353471,0.647763
5850,1.341811,0.677929
5860,1.349373,0.581218
5870,1.334304,0.658455
5880,1.369628,0.625064
5890,1.365144,0.677516
5900,1.364789,0.570261
5910,1.370894,0.683225
5920,1.370427,0.631638
5930,1.378069,0.646903
5940,1.356534,0.624493
5950,1.341576,0.572763
5960,1.370139,0.586524
5970,1.360336,0.605417
5980,1.296951,0.497203
5990,1.368447,0.642379
6000,1.358469,0.675477
6010,1.343831,0.640308
6020,1.360902,0.633211
6030,1.359242,0.652758
6040,1.352226,0.634977
6050,1.343997,0.568706
6060,1.351600,0.610760
6070,1.359509,0.591511
6080,1.365243,0.577826
6090,1.371927,0.628240
6100,1.352087,0.565975
6110,1.353971,0.593550
6120,1.315077,0.549873
6130,1.359206,0.580101
6140,1.335238,0.590953
6150,1.341424,0.608107
6160,1.354355,0.609787
6170,1.356800,0.690790
6180,1.326573,0.638708
6190,1.379095,0.636591
6200,1.348334,0.616703
6210,1.363948,0.593186
6220,1.345439,0.583893
6230,1.303625,0.626046
6240,1.288938,0.584046
6250,1.332603,0.549342
6260,1.346680,0.604119
6270,1.374097,0.611777
6280,1.307115,0.618326
6290,1.372150,0.624762
6300,1.347516,0.545267
6310,1.322003,0.583081
6320,1.284003,0.526035
6330,1.331228,0.587932
6340,1.354242,0.598916
6350,1.380044,0.645232
6360,1.344738,0.579003
6370,1.356279,0.577578
6380,1.352979,0.575201
6390,1.352034,0.579016
6400,1.325494,0.563993
6410,1.366315,0.624542
6420,1.359536,0.620920
6430,1.345553,0.599163
6440,1.362149,0.665103
6450,1.366560,0.628699
6460,1.360328,0.621479
6470,1.357879,0.617248
6480,1.338089,0.599872
6490,1.335700,0.588464
6500,1.302032,0.588340
6510,1.360829,0.622232
6520,1.357653,0.599035
6530,1.384321,0.604257
6540,1.254391,0.605046
6550,1.351544,0.559123
6560,1.361142,0.613832
6570,1.352157,0.611133
6580,1.335209,0.620959
6590,1.354619,0.614828
6600,1.352381,0.606546
6610,1.302993,0.600569
6620,1.359282,0.588052
6630,1.368229,0.757181
6640,1.376067,0.643590
6650,1.354120,0.622004
6660,1.361756,0.589826
6670,1.364878,0.592673
6680,1.348725,0.604153
6690,1.364204,0.591706
6700,1.342804,0.585213
6710,1.365616,0.621568
6720,1.371291,0.636455
6730,1.372602,0.641909
6740,1.374185,0.608381
6750,1.355548,0.577701
6760,1.364596,0.634634
6770,1.372342,0.606816
6780,1.342301,0.590818
6790,1.350483,0.575330
6800,1.354989,0.613637
6810,1.379715,0.652927
6820,1.363798,0.599149
6830,1.353012,0.577226
6840,1.377209,0.652311
6850,1.346055,0.610382
6860,1.335747,0.603431
6870,1.373100,0.628103
6880,1.363347,0.638999
6890,1.356471,0.603799
6900,1.361215,0.716398
6910,1.361462,0.624882
6920,1.370956,0.657582
6930,1.358357,0.618821
6940,1.347790,0.573369
6950,1.361822,0.671385
6960,1.356255,0.628614
6970,1.348940,0.606323
6980,1.350814,0.699588
6990,1.352224,0.651641
7000,1.342593,0.626901
7010,1.341231,0.588110
7020,1.349730,0.654759
7030,1.376477,0.590284
7040,1.379915,0.613176
7050,1.336288,0.616355
7060,1.297747,0.656273
7070,1.364151,0.598924
7080,1.381865,0.624198
7090,1.358245,0.617694
7100,1.363454,0.567241
7110,1.348504,0.568093
7120,1.342352,0.592797
7130,1.292011,0.568000
7140,1.327237,0.594911
7150,1.346897,0.576985
7160,1.327767,0.560019
7170,1.345663,0.610089
7180,1.311631,0.535278
7190,1.328688,0.587369
7200,1.357278,0.650366
7210,1.372590,0.612186
7220,1.336039,0.570708
7230,1.344366,0.611668
7240,1.338203,0.582027
7250,1.342203,0.613982
7260,1.348595,0.624445
7270,1.341981,0.624450
7280,1.350822,0.600504
7290,1.374088,0.550214
7300,1.250252,0.604894
7310,1.309433,0.540280
7320,1.377445,0.612662
7330,1.361491,0.597577
7340,1.354895,0.610399
7350,1.365460,0.691614
7360,1.326383,0.633295
7370,1.377451,0.624252
7380,1.312691,0.593191
7390,1.356543,0.636827
7400,1.323702,0.614200
7410,1.358923,0.611738
7420,1.339408,0.590736
7430,1.342211,0.537475
7440,1.324562,0.531698
7450,1.274840,0.520757
7460,1.321416,0.609921
7470,1.368423,0.655266
7480,1.268779,0.590991
7490,1.362453,0.617692
7500,1.344466,0.578443
7510,1.359826,0.598682
7520,1.320037,0.568130
7530,1.333576,0.630533
7540,1.360893,0.591357
7550,1.335178,0.516952
7560,1.345983,0.551465
7570,1.357328,0.620067
7580,1.358250,0.578491
7590,1.346176,0.578036
7600,1.361820,0.621435
7610,1.362228,0.647386
7620,1.335429,0.504081
7630,1.342237,0.588156
7640,1.340966,0.667704
7650,1.329759,0.585654
7660,1.367385,0.600120
7670,1.335237,0.629083
7680,1.312822,0.651787
7690,1.359910,0.593846
7700,1.358384,0.588167
7710,1.325911,0.554539
7720,1.334295,0.659384
7730,1.341754,0.594549
7740,1.294097,0.563328
7750,1.349635,0.546743
7760,1.345165,0.664592
7770,1.342006,0.663968
7780,1.347699,0.628716
7790,1.311487,0.523088
7800,1.380019,0.597873
7810,1.348662,0.544306
7820,1.353713,0.548907
7830,1.342825,0.621639
7840,1.347261,0.606143
7850,1.321784,0.528966
7860,1.336684,0.643409
7870,1.325032,0.517354
7880,1.359003,0.581770
7890,1.334937,0.570203
7900,1.367797,0.618185
7910,1.348870,0.564581
7920,1.357732,0.561281
7930,1.351232,0.579852
7940,1.362271,0.616912
7950,1.371671,0.634865
7960,1.336448,0.555821
7970,1.356278,0.608108
7980,1.376323,0.619672
7990,1.355065,0.592405
8000,1.325469,0.578770
